uid,instance_seed,n_agents,dep_mode,size,n_obstacles,couple_prob,couple_dist,method,status,team_time,flow_time,distance,wait,valid,agent_clearance,obstacle_clearance,dep_violations,n_switches,runtime_s,lower_bound,ratio_to_bound,git_commit,planner_seed,timeout_s,n_modes,n_feasible_modes,chosen_is_fastest_feasible,note,n_amax_violations,n_amax_viol_stop,n_amax_viol_block,n_amax_viol_snap,n_amax_viol_project,n_project_active,n_blocked,n_evals,n_stalled_evals,max_accel,phys_fp
n4_chain_086f5f25,9,4,chain,10.0,4-6,1.0,0.55,lower_bound,ok,12.2,,,,,,,,,0.0,12.2,1.0,aa1574f,0,300.0,,,,,,,,,,,,,,,058289b6e9fe
n4_chain_086f5f25,9,4,chain,10.0,4-6,1.0,0.55,sequential,no_solution,,,,,,,,,,,12.2,,aa1574f,0,300.0,,,,,,,,,,,,,,,058289b6e9fe
n4_chain_086f5f25,9,4,chain,10.0,4-6,1.0,0.55,wm_planner,ok,14.7,50.0,34.724,17.272,True,0.9449,0.3213,0,1,9.772,12.2,1.2049,aa1574f,0,300.0,16,16,True,,12,4,3,5,0,183,3,128,0,10.8039,058289b6e9fe
n4_chain_9f87911b,7,4,chain,10.0,4-6,1.0,0.55,wm_planner,ok,17.4,65.5,47.117,21.662,True,1.0252,0.3204,0,5,14.395,14.3,1.2168,aa1574f,1,300.0,16,16,True,,11,4,4,3,0,262,4,152,0,12.0,058289b6e9fe
n4_chain_1f37d6fc,6,4,chain,10.0,4-6,1.0,0.55,wm_planner,ok,20.9,71.9,52.152,24.618,True,0.9201,0.3231,0,3,16.445,16.3,1.2822,aa1574f,1,300.0,16,16,True,,10,3,5,2,0,264,5,176,0,11.9745,058289b6e9fe
n4_chain_1f37d6fc,6,4,chain,10.0,4-6,1.0,0.55,wm_planner,unfinished:deadlock: no team progress,26.0,70.1,48.146,26.212,False,0.926,0.3372,0,6,15.594,16.3,1.5951,aa1574f,2,300.0,16,16,True,deadlock: no team progress,9,4,3,2,0,223,3,216,0,11.1343,058289b6e9fe
n4_chain_4635d1f4,0,4,chain,10.0,6-8,0.0,0.55,wm_planner,unfinished:deadlock: no team progress,23.0,67.9,32.316,36.301,False,0.9907,0.32,0,0,10.722,17.0,1.3529,aa1574f,1,300.0,16,16,True,deadlock: no team progress,13,4,6,3,0,183,6,192,0,9.5366,058289b6e9fe
n4_chain_4635d1f4,0,4,chain,10.0,6-8,0.0,0.55,lower_bound,ok,17.0,,,,,,,,,0.0,17.0,1.0,aa1574f,0,300.0,,,,,,,,,,,,,,,058289b6e9fe
n4_chain_4635d1f4,0,4,chain,10.0,6-8,0.0,0.55,sequential,no_solution,,,,,,,,,,,17.0,,aa1574f,0,300.0,,,,,,,,,,,,,,,058289b6e9fe
n4_chain_4635d1f4,0,4,chain,10.0,6-8,0.0,0.55,wm_planner,unfinished:deadlock: no team progress,23.0,67.9,32.562,36.097,False,0.9907,0.3204,0,0,12.138,17.0,1.3529,aa1574f,0,300.0,16,16,True,deadlock: no team progress,12,4,5,3,0,189,5,192,0,9.5851,058289b6e9fe
n4_chain_ef82aa3f,8,4,chain,10.0,4-6,1.0,0.55,wm_planner,unfinished:deadlock: no team progress,24.0,70.6,48.118,25.879,False,0.7238,0.32,0,4,16.589,14.1,1.7021,aa1574f,2,300.0,16,16,True,deadlock: no team progress,15,4,5,6,0,214,5,200,0,9.1151,058289b6e9fe
n4_chain_4635d1f4,0,4,chain,10.0,6-8,0.0,0.55,wm_planner,unfinished:deadlock: no team progress,25.0,65.1,38.148,28.71,False,1.0469,0.3201,0,1,13.263,17.0,1.4706,aa1574f,2,300.0,16,16,True,deadlock: no team progress,12,4,5,3,0,241,5,208,0,11.3947,058289b6e9fe
n4_chain_91f2ad21,2,4,chain,10.0,6-8,0.0,0.55,lower_bound,ok,16.1,,,,,,,,,0.0,16.1,1.0,aa1574f,0,300.0,,,,,,,,,,,,,,,058289b6e9fe
n4_chain_91f2ad21,2,4,chain,10.0,6-8,0.0,0.55,sequential,no_solution,,,,,,,,,,,16.1,,aa1574f,0,300.0,,,,,,,,,,,,,,,058289b6e9fe
n4_chain_91f2ad21,2,4,chain,10.0,6-8,0.0,0.55,wm_planner,ok,18.2,61.5,48.559,17.328,True,1.4938,0.32,0,2,9.379,16.1,1.1304,aa1574f,0,300.0,16,16,True,,16,4,9,3,0,318,9,160,0,12.0,058289b6e9fe
