uid,instance_seed,n_agents,dep_mode,size,n_obstacles,couple_prob,couple_dist,method,status,team_time,flow_time,distance,wait,valid,agent_clearance,obstacle_clearance,dep_violations,n_switches,runtime_s,lower_bound,ratio_to_bound,git_commit,planner_seed,timeout_s,n_modes,n_feasible_modes,chosen_is_fastest_feasible,note,n_amax_violations,n_amax_viol_stop,n_amax_viol_block,n_amax_viol_snap,n_amax_viol_project,n_project_active,n_blocked,n_free_steps_calls,n_agent_violations,n_obstacle_violations,min_agent_clearance,min_obstacle_clearance,first_violation_t,n_evals,n_stalled_evals,n_replans,n_replans_over_1s,replan_ms_median,replan_ms_p90,replan_ms_max,max_accel,phys_fp
n2_chain_5fca519e,2,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,9.1,17.7,15.083,2.849,True,0.9183,0.6245,0,1,3.553,8.5,1.0706,b6767bd,0,300.0,16,16,True,,0,0,0,0,0,106,0,153,0,0,0.918288,0.624524,-1,88,0,10,1,266.981,607.995,1194.791,16.7798,65eb7c9d9016
n2_chain_062b2ca2,4,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,9.5,,,,,,,,,0.0,9.5,1.0,b6767bd,0,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,65eb7c9d9016
n2_chain_062b2ca2,4,2,chain,8.0,2-3,0.0,0.55,sequential,ok,12.7,21.6,11.224,8.9,True,2.867,0.466,0,,0.005,9.5,1.3368,b6767bd,0,300.0,,,,,,,,,,,,,0,0,2.867013,0.465978,-1,,,,,,,,,65eb7c9d9016
n2_chain_062b2ca2,4,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,10.5,20.0,11.161,7.558,True,2.867,0.4308,0,0,3.711,9.5,1.1053,b6767bd,0,300.0,12,12,True,,0,0,0,0,0,86,0,168,0,0,2.867013,0.430786,-1,92,0,11,0,269.312,570.638,956.192,12.0,65eb7c9d9016
n2_chain_19520b24,5,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,13.2,,,,,,,,,0.0,13.2,1.0,b6767bd,0,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,65eb7c9d9016
n2_chain_19520b24,5,2,chain,8.0,2-3,0.0,0.55,sequential,ok,18.0,24.3,17.987,6.3,True,1.6358,0.4114,0,,0.003,13.2,1.3636,b6767bd,0,300.0,,,,,,,,,,,,,0,0,1.635818,0.411397,-1,,,,,,,,,65eb7c9d9016
n2_chain_19520b24,5,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,14.0,20.5,18.197,2.681,True,1.6766,0.347,0,0,2.324,13.2,1.0606,b6767bd,0,300.0,16,16,True,,0,0,0,0,0,142,0,177,0,0,1.676593,0.346953,-1,120,1,14,0,148.78,226.941,501.788,14.5102,65eb7c9d9016
n2_chain_0d69eec5,0,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,9.8,18.9,14.517,4.531,True,3.9843,0.3267,0,0,4.613,9.3,1.0538,b6767bd,2,300.0,16,16,True,,0,0,0,0,0,110,0,165,0,0,3.98431,0.326671,-1,88,0,10,1,399.332,678.666,1342.596,12.0,65eb7c9d9016
n2_chain_0d69eec5,0,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,9.3,,,,,,,,,0.0,9.3,1.0,b6767bd,0,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,65eb7c9d9016
n2_chain_0d69eec5,0,2,chain,8.0,2-3,0.0,0.55,sequential,ok,14.6,23.2,14.422,8.6,True,3.4653,0.4059,0,,0.006,9.3,1.5699,b6767bd,0,300.0,,,,,,,,,,,,,0,0,3.465321,0.405881,-1,,,,,,,,,65eb7c9d9016
n2_chain_0d69eec5,0,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,9.8,18.9,14.517,4.531,True,3.9843,0.3267,0,0,4.69,9.3,1.0538,b6767bd,0,300.0,16,16,True,,0,0,0,0,0,110,0,165,0,0,3.98431,0.326671,-1,88,0,10,1,412.079,683.187,1333.495,12.0,65eb7c9d9016
