uid,instance_seed,n_agents,dep_mode,size,n_obstacles,couple_prob,couple_dist,method,status,team_time,flow_time,distance,wait,valid,agent_clearance,obstacle_clearance,dep_violations,n_switches,runtime_s,lower_bound,ratio_to_bound,git_commit,planner_seed,timeout_s,n_modes,n_feasible_modes,chosen_is_fastest_feasible,note,n_amax_violations,n_amax_viol_stop,n_amax_viol_block,n_amax_viol_snap,n_amax_viol_project,n_project_active,n_blocked,n_evals,n_stalled_evals,max_accel,phys_fp
n2_chain_b29ed71e,7,2,chain,12.0,2-3,0.0,0.55,lower_bound,ok,12.0,,,,,,,,,0.0,12.0,1.0,aca1a47,0,300.0,,,,,,,,,,,,,,,2070da06d4a0
n2_chain_b29ed71e,7,2,chain,12.0,2-3,0.0,0.55,sequential,ok,17.2,29.2,17.094,12.0,True,4.6336,0.452,0,,0.005,12.0,1.4333,aca1a47,0,300.0,,,,,,,,,,,,,,,2070da06d4a0
n2_chain_b29ed71e,7,2,chain,12.0,2-3,0.0,0.55,wm_planner,ok,12.9,19.0,17.953,1.318,True,1.4087,0.4447,0,1,1.843,12.0,1.075,aca1a47,0,300.0,16,16,True,,4,2,0,2,0,132,0,112,0,8.5952,2070da06d4a0
n2_chain_6c9abd41,6,2,chain,12.0,2-3,0.0,0.55,lower_bound,ok,13.9,,,,,,,,,0.0,13.9,1.0,aca1a47,0,300.0,,,,,,,,,,,,,,,2070da06d4a0
n2_chain_6c9abd41,6,2,chain,12.0,2-3,0.0,0.55,sequential,ok,23.1,32.3,24.634,9.2,True,4.3221,0.5542,0,,0.006,13.9,1.6619,aca1a47,0,300.0,,,,,,,,,,,,,,,2070da06d4a0
n2_chain_6c9abd41,6,2,chain,12.0,2-3,0.0,0.55,wm_planner,ok,14.2,23.7,24.623,0.877,True,3.6889,0.5008,0,0,2.234,13.9,1.0216,aca1a47,0,300.0,16,16,True,,4,2,0,2,0,192,0,128,0,10.3713,2070da06d4a0
n2_chain_b29ed71e,7,2,chain,12.0,2-3,0.0,0.55,wm_planner,ok,12.9,19.0,17.959,1.313,True,1.4088,0.4437,0,0,1.921,12.0,1.075,aca1a47,1,300.0,16,16,True,,3,2,0,1,0,130,0,112,0,9.479,2070da06d4a0
n2_chain_6c9abd41,6,2,chain,12.0,2-3,0.0,0.55,wm_planner,ok,14.2,23.7,24.623,0.877,True,3.6889,0.5008,0,0,2.221,13.9,1.0216,aca1a47,1,300.0,16,16,True,,4,2,0,2,0,192,0,128,0,10.3713,2070da06d4a0
n2_chain_6c9abd41,6,2,chain,12.0,2-3,0.0,0.55,wm_planner,ok,14.2,23.7,24.623,0.877,True,3.6889,0.5008,0,0,2.252,13.9,1.0216,aca1a47,2,300.0,16,16,True,,4,2,0,2,0,192,0,128,0,10.3713,2070da06d4a0
n2_chain_7195b1bf,3,2,chain,12.0,2-3,0.0,0.55,wm_planner,ok,19.1,30.8,33.463,1.471,True,3.0944,0.3222,0,1,4.382,18.8,1.016,aca1a47,1,300.0,16,16,True,,3,2,0,1,0,252,0,168,0,7.4091,2070da06d4a0
n2_chain_fc41e966,5,2,chain,12.0,2-3,0.0,0.55,wm_planner,ok,12.6,21.9,18.073,3.681,True,2.5354,0.4308,0,0,2.756,11.3,1.115,aca1a47,2,300.0,16,16,True,,4,2,1,1,0,128,1,112,0,11.8256,2070da06d4a0
n2_chain_7195b1bf,3,2,chain,12.0,2-3,0.0,0.55,wm_planner,ok,19.1,30.6,33.096,1.577,True,1.4529,0.3535,0,0,4.491,18.8,1.016,aca1a47,2,300.0,16,16,True,,1,1,0,0,0,244,0,168,0,8.5267,2070da06d4a0
n2_chain_2026a5b2,8,2,chain,12.0,2-3,0.0,0.55,lower_bound,ok,12.8,,,,,,,,,0.0,12.8,1.0,aca1a47,0,300.0,,,,,,,,,,,,,,,2070da06d4a0
n2_chain_2026a5b2,8,2,chain,12.0,2-3,0.0,0.55,sequential,ok,20.0,27.2,21.402,7.2,True,2.0443,0.3844,0,,0.006,12.8,1.5625,aca1a47,0,300.0,,,,,,,,,,,,,,,2070da06d4a0
n2_chain_2026a5b2,8,2,chain,12.0,2-3,0.0,0.55,wm_planner,ok,13.5,21.5,21.632,1.547,True,2.0565,0.3874,0,0,2.133,12.8,1.0547,aca1a47,0,300.0,16,16,True,,5,2,0,3,0,160,0,120,0,6.9398,2070da06d4a0
n2_chain_b29ed71e,7,2,chain,12.0,2-3,0.0,0.55,wm_planner,ok,12.4,18.5,17.847,0.973,True,1.4087,0.4322,0,3,2.53,12.0,1.0333,aca1a47,2,300.0,16,16,True,,4,2,0,2,0,132,0,112,0,8.5952,2070da06d4a0
n2_chain_2026a5b2,8,2,chain,12.0,2-3,0.0,0.55,wm_planner,ok,13.5,22.0,21.815,1.895,True,1.9223,0.3456,0,0,2.192,12.8,1.0547,aca1a47,1,300.0,16,16,True,,2,1,0,1,0,157,0,120,0,9.6027,2070da06d4a0
n2_chain_2026a5b2,8,2,chain,12.0,2-3,0.0,0.55,wm_planner,ok,13.5,21.5,21.637,1.545,True,2.0565,0.3907,0,0,2.178,12.8,1.0547,aca1a47,2,300.0,16,16,True,,4,2,0,2,0,161,0,120,0,7.4568,2070da06d4a0
n2_chain_2d8372b7,9,2,chain,12.0,2-3,0.0,0.55,lower_bound,ok,15.9,,,,,,,,,0.0,15.9,1.0,aca1a47,0,300.0,,,,,,,,,,,,,,,2070da06d4a0
n2_chain_2d8372b7,9,2,chain,12.0,2-3,0.0,0.55,sequential,ok,21.9,30.3,22.735,8.4,True,3.1582,0.3735,0,,0.006,15.9,1.3774,aca1a47,0,300.0,,,,,,,,,,,,,,,2070da06d4a0
n2_chain_2d8372b7,9,2,chain,12.0,2-3,0.0,0.55,wm_planner,ok,17.4,26.2,22.869,4.441,True,3.1582,0.3212,0,1,2.495,15.9,1.0943,aca1a47,0,300.0,16,16,True,,8,2,2,4,0,169,2,152,0,12.0,2070da06d4a0
n2_chain_44dbed2b,0,2,chain,12.0,2-3,1.0,0.55,lower_bound,ok,14.4,,,,,,,,,0.0,14.4,1.0,aca1a47,0,300.0,,,,,,,,,,,,,,,2070da06d4a0
n2_chain_44dbed2b,0,2,chain,12.0,2-3,1.0,0.55,sequential,ok,20.5,29.6,21.025,9.1,True,1.1822,0.4712,0,,0.008,14.4,1.4236,aca1a47,0,300.0,,,,,,,,,,,,,,,2070da06d4a0
n2_chain_44dbed2b,0,2,chain,12.0,2-3,1.0,0.55,wm_planner,ok,15.7,25.6,23.545,3.31,True,0.9366,0.3609,0,1,2.417,14.4,1.0903,aca1a47,0,300.0,16,16,False,,6,2,1,3,0,160,1,136,0,12.0,2070da06d4a0
