uid,planner_seed,replan_idx,cluster_id,mode_idx,members,agent_tokens,k,density,y_exit,dt_delay,stalled
n2_chain_5fca519e,0,0,0,0,"0,1","[[1.3942883211754493, 0.4451927719345985, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0], [-1.3942883211754484, -0.44519277193459894, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,0,0,1,"0,1","[[1.3942883211754493, 0.4451927719345985, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0], [-1.3942883211754484, -0.44519277193459894, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,0,0,2,"0,1","[[1.3942883211754493, 0.4451927719345985, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0], [-1.3942883211754484, -0.44519277193459894, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,0,0,3,"0,1","[[1.3942883211754493, 0.4451927719345985, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0], [-1.3942883211754484, -0.44519277193459894, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,0,0,4,"0,1","[[1.3942883211754493, 0.4451927719345985, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0], [-1.3942883211754484, -0.44519277193459894, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,0,0,5,"0,1","[[1.3942883211754493, 0.4451927719345985, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0], [-1.3942883211754484, -0.44519277193459894, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,0,0,6,"0,1","[[1.3942883211754493, 0.4451927719345985, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0], [-1.3942883211754484, -0.44519277193459894, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,0,0,7,"0,1","[[1.3942883211754493, 0.4451927719345985, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0], [-1.3942883211754484, -0.44519277193459894, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,0,0,8,"0,1","[[1.3942883211754493, 0.4451927719345985, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0], [-1.3942883211754484, -0.44519277193459894, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,0,0,9,"0,1","[[1.3942883211754493, 0.4451927719345985, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0], [-1.3942883211754484, -0.44519277193459894, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,0,0,10,"0,1","[[1.3942883211754493, 0.4451927719345985, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0], [-1.3942883211754484, -0.44519277193459894, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,0,0,11,"0,1","[[1.3942883211754493, 0.4451927719345985, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0], [-1.3942883211754484, -0.44519277193459894, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,0,0,12,"0,1","[[1.3942883211754493, 0.4451927719345985, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0], [-1.3942883211754484, -0.44519277193459894, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,0,0,13,"0,1","[[1.3942883211754493, 0.4451927719345985, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0], [-1.3942883211754484, -0.44519277193459894, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,0,0,14,"0,1","[[1.3942883211754493, 0.4451927719345985, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0], [-1.3942883211754484, -0.44519277193459894, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,0,0,15,"0,1","[[1.3942883211754493, 0.4451927719345985, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0], [-1.3942883211754484, -0.44519277193459894, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,1,0,0,"0,1","[[0.48842898961482817, 0.32356724053273256, -1.1971706466750327, -0.0823555696943684, 1.0, 0.0, 0.0, 0.0], [-0.48842898961482817, -0.323567240532733, 0.8642770142750356, -0.8324813749963599, 1.0, 0.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,1,0,1,"0,1","[[0.48842898961482817, 0.32356724053273256, -1.1971706466750327, -0.0823555696943684, 1.0, 0.0, 0.0, 0.0], [-0.48842898961482817, -0.323567240532733, 0.8642770142750356, -0.8324813749963599, 1.0, 0.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,1,0,2,"0,1","[[0.48842898961482817, 0.32356724053273256, -1.1971706466750327, -0.0823555696943684, 1.0, 0.0, 0.0, 0.0], [-0.48842898961482817, -0.323567240532733, 0.8642770142750356, -0.8324813749963599, 1.0, 0.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,1,0,3,"0,1","[[0.48842898961482817, 0.32356724053273256, -1.1971706466750327, -0.0823555696943684, 1.0, 0.0, 0.0, 0.0], [-0.48842898961482817, -0.323567240532733, 0.8642770142750356, -0.8324813749963599, 1.0, 0.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,1,0,4,"0,1","[[0.48842898961482817, 0.32356724053273256, -1.1971706466750327, -0.0823555696943684, 1.0, 0.0, 0.0, 0.0], [-0.48842898961482817, -0.323567240532733, 0.8642770142750356, -0.8324813749963599, 1.0, 0.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,1,0,5,"0,1","[[0.48842898961482817, 0.32356724053273256, -1.1971706466750327, -0.0823555696943684, 1.0, 0.0, 0.0, 0.0], [-0.48842898961482817, -0.323567240532733, 0.8642770142750356, -0.8324813749963599, 1.0, 0.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,1,0,6,"0,1","[[0.48842898961482817, 0.32356724053273256, -1.1971706466750327, -0.0823555696943684, 1.0, 0.0, 0.0, 0.0], [-0.48842898961482817, -0.323567240532733, 0.8642770142750356, -0.8324813749963599, 1.0, 0.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,1,0,7,"0,1","[[0.48842898961482817, 0.32356724053273256, -1.1971706466750327, -0.0823555696943684, 1.0, 0.0, 0.0, 0.0], [-0.48842898961482817, -0.323567240532733, 0.8642770142750356, -0.8324813749963599, 1.0, 0.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,1,0,8,"0,1","[[0.48842898961482817, 0.32356724053273256, -1.1971706466750327, -0.0823555696943684, 1.0, 0.0, 0.0, 0.0], [-0.48842898961482817, -0.323567240532733, 0.8642770142750356, -0.8324813749963599, 1.0, 0.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,1,0,9,"0,1","[[0.48842898961482817, 0.32356724053273256, -1.1971706466750327, -0.0823555696943684, 1.0, 0.0, 0.0, 0.0], [-0.48842898961482817, -0.323567240532733, 0.8642770142750356, -0.8324813749963599, 1.0, 0.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,1,0,10,"0,1","[[0.48842898961482817, 0.32356724053273256, -1.1971706466750327, -0.0823555696943684, 1.0, 0.0, 0.0, 0.0], [-0.48842898961482817, -0.323567240532733, 0.8642770142750356, -0.8324813749963599, 1.0, 0.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,1,0,11,"0,1","[[0.48842898961482817, 0.32356724053273256, -1.1971706466750327, -0.0823555696943684, 1.0, 0.0, 0.0, 0.0], [-0.48842898961482817, -0.323567240532733, 0.8642770142750356, -0.8324813749963599, 1.0, 0.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,1,0,12,"0,1","[[0.48842898961482817, 0.32356724053273256, -1.1971706466750327, -0.0823555696943684, 1.0, 0.0, 0.0, 0.0], [-0.48842898961482817, -0.323567240532733, 0.8642770142750356, -0.8324813749963599, 1.0, 0.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
