uid,agent,route_idx,n_routes,length,len1,len2,hx,hy,sx,sy
n2_chain_0f5be0e9,0,0,4,4.911674,3.774561,1.137114,-0.162224,0.986754,6.977584,1.031923
n2_chain_0f5be0e9,0,1,4,5.355827,4.218714,1.137114,-0.388870,0.921293,6.977584,1.031923
n2_chain_0f5be0e9,0,2,4,5.672090,3.774561,1.897529,-0.162224,0.986754,6.977584,1.031923
n2_chain_0f5be0e9,0,3,4,6.116243,4.218714,1.897529,-0.388870,0.921293,6.977584,1.031923
n2_chain_0f5be0e9,1,0,4,14.538819,8.005990,6.532829,0.893968,-0.448131,1.023977,1.998658
n2_chain_0f5be0e9,1,1,4,15.006278,8.473449,6.532829,0.633183,0.774002,1.023977,1.998658
n2_chain_0f5be0e9,1,2,4,19.042556,8.005990,11.036566,0.893968,-0.448131,1.023977,1.998658
n2_chain_0f5be0e9,1,3,4,19.510015,8.473449,11.036566,0.633183,0.774002,1.023977,1.998658
n2_chain_17c11878,0,0,1,3.641960,1.172480,2.469480,-0.259327,0.965789,7.054707,2.292900
n2_chain_17c11878,1,0,4,14.233061,7.598356,6.634705,0.351731,-0.936101,0.504597,3.213238
n2_chain_17c11878,1,1,4,14.342530,7.598356,6.744174,0.351731,-0.936101,0.504597,3.213238
n2_chain_17c11878,1,2,4,15.059878,8.425173,6.634705,0.311221,0.950337,0.504597,3.213238
n2_chain_17c11878,1,3,4,15.169347,8.425173,6.744174,0.311221,0.950337,0.504597,3.213238
n2_chain_197e59af,0,0,2,5.670307,4.576831,1.093476,0.982477,-0.186386,4.102208,5.419884
n2_chain_197e59af,0,1,2,6.853263,5.759787,1.093476,0.982477,-0.186386,4.102208,5.419884
n2_chain_197e59af,1,0,4,12.061159,5.757152,6.304008,-0.132969,0.991120,6.385034,0.664829
n2_chain_197e59af,1,1,4,12.221716,5.917709,6.304008,-0.256668,0.966500,6.385034,0.664829
n2_chain_197e59af,1,2,4,12.545899,5.757152,6.788748,-0.132969,0.991120,6.385034,0.664829
n2_chain_197e59af,1,3,4,12.706456,5.917709,6.788748,-0.256668,0.966500,6.385034,0.664829
n2_chain_23a7937c,0,0,2,10.601571,3.797277,6.804294,-0.094815,-0.995495,8.391820,4.072180
n2_chain_23a7937c,0,1,2,10.613060,3.797277,6.815782,-0.094815,-0.995495,8.391820,4.072180
n2_chain_23a7937c,1,0,4,11.624648,3.571625,8.053023,-0.125912,0.992041,4.058475,5.092182
n2_chain_23a7937c,1,1,4,12.432225,4.379202,8.053023,0.701610,0.712561,4.058475,5.092182
n2_chain_23a7937c,1,2,4,14.734707,3.571625,11.163082,-0.125912,0.992041,4.058475,5.092182
n2_chain_23a7937c,1,3,4,15.542285,4.379202,11.163082,0.701610,0.712561,4.058475,5.092182
n2_chain_281b17fc,0,0,4,9.998404,5.869959,4.128445,-0.062458,-0.998048,3.429911,9.446241
n2_chain_281b17fc,0,1,4,10.383660,6.255215,4.128445,0.265236,-0.964183,3.429911,9.446241
n2_chain_281b17fc,0,2,4,10.573928,5.869959,4.703969,-0.062458,-0.998048,3.429911,9.446241
n2_chain_281b17fc,0,3,4,10.959184,6.255215,4.703969,0.265236,-0.964183,3.429911,9.446241
n2_chain_281b17fc,1,0,2,12.076614,7.957421,4.119194,-0.992548,0.121851,7.602392,7.692767
n2_chain_281b17fc,1,1,2,12.456111,8.336917,4.119194,-0.977153,-0.212538,7.602392,7.692767
n2_chain_310849fd,0,0,4,7.046836,2.675808,4.371028,0.177379,0.984143,1.537251,0.576866
n2_chain_310849fd,0,1,4,8.056559,3.685531,4.371028,0.780575,0.625062,1.537251,0.576866
n2_chain_310849fd,0,2,4,8.091617,2.675808,5.415809,0.177379,0.984143,1.537251,0.576866
n2_chain_310849fd,0,3,4,9.101340,3.685531,5.415809,0.780575,0.625062,1.537251,0.576866
n2_chain_310849fd,1,0,4,10.296955,5.706526,4.590429,-0.999824,0.018770,7.192459,1.865031
n2_chain_310849fd,1,1,4,11.638845,5.706526,5.932319,-0.999824,0.018770,7.192459,1.865031
n2_chain_310849fd,1,2,4,12.144619,7.554189,4.590429,0.889255,0.457412,7.192459,1.865031
n2_chain_310849fd,1,3,4,13.486509,7.554189,5.932319,0.889255,0.457412,7.192459,1.865031
n2_chain_3c3d12e3,0,0,2,8.128988,6.759078,1.369910,-0.378320,-0.925675,4.279944,7.466376
n2_chain_3c3d12e3,0,1,2,9.939451,8.569541,1.369910,-0.999163,-0.040896,4.279944,7.466376
n2_chain_3c3d12e3,1,0,4,9.511685,5.607074,3.904611,-0.996110,-0.088118,6.799784,2.625073
n2_chain_3c3d12e3,1,1,4,9.659614,5.755003,3.904611,-0.986567,0.163359,6.799784,2.625073
n2_chain_3c3d12e3,1,2,4,10.090940,5.607074,4.483866,-0.996110,-0.088118,6.799784,2.625073
n2_chain_3c3d12e3,1,3,4,10.238869,5.755003,4.483866,-0.986567,0.163359,6.799784,2.625073
n2_chain_3c52259f,0,0,4,17.975494,9.833807,8.141687,0.256992,-0.966413,4.215137,9.440543
n2_chain_3c52259f,0,1,4,18.741982,9.833807,8.908175,0.256992,-0.966413,4.215137,9.440543
n2_chain_3c52259f,0,2,4,18.865108,10.723421,8.141687,-0.015677,-0.999877,4.215137,9.440543
n2_chain_3c52259f,0,3,4,19.631596,10.723421,8.908175,-0.015677,-0.999877,4.215137,9.440543
n2_chain_3c52259f,1,0,4,9.182470,5.840723,3.341747,0.896506,-0.443031,7.813466,6.408728
n2_chain_3c52259f,1,1,4,9.411892,5.840723,3.571169,0.896506,-0.443031,7.813466,6.408728
n2_chain_3c52259f,1,2,4,10.613157,7.271410,3.341747,-0.917332,-0.398123,7.813466,6.408728
n2_chain_3c52259f,1,3,4,10.842579,7.271410,3.571169,-0.917332,-0.398123,7.813466,6.408728
n2_chain_3fc4fe76,0,0,2,11.382044,6.640178,4.741866,-0.659290,0.751888,10.666386,5.680009
n2_chain_3fc4fe76,0,1,2,12.340010,7.598145,4.741866,-0.590454,0.807071,10.666386,5.680009
n2_chain_3fc4fe76,1,0,2,11.206520,5.651351,5.555168,-0.829626,0.558320,8.131347,1.679280
n2_chain_3fc4fe76,1,1,2,12.279762,6.724593,5.555168,-0.829626,0.558320,8.131347,1.679280
n2_chain_4387676d,0,0,2,11.733787,7.998529,3.735259,-0.826074,0.563561,7.296994,1.088591
n2_chain_4387676d,0,1,2,11.769014,7.998529,3.770485,-0.826074,0.563561,7.296994,1.088591
n2_chain_4387676d,1,0,4,12.944423,4.872935,8.071488,-0.761352,-0.648339,5.452864,5.516680
n2_chain_4387676d,1,1,4,13.322333,4.872935,8.449397,-0.761352,-0.648339,5.452864,5.516680
n2_chain_4387676d,1,2,4,13.468811,5.397323,8.071488,-0.470403,-0.882452,5.452864,5.516680
n2_chain_4387676d,1,3,4,13.846721,5.397323,8.449397,-0.470403,-0.882452,5.452864,5.516680
n2_chain_44dbed2b,0,0,2,9.376978,5.607131,3.769847,0.992292,-0.123919,4.720453,11.469309
n2_chain_44dbed2b,0,1,2,10.208569,5.607131,4.601438,0.992292,-0.123919,4.720453,11.469309
n2_chain_44dbed2b,1,0,4,11.648305,3.453107,8.195199,-0.374563,0.927201,11.289189,8.040962
n2_chain_44dbed2b,1,1,4,12.828460,3.453107,9.375353,-0.374563,0.927201,11.289189,8.040962
n2_chain_44dbed2b,1,2,4,12.842437,4.647238,8.195199,-0.999939,-0.011002,11.289189,8.040962
n2_chain_44dbed2b,1,3,4,14.022591,4.647238,9.375353,-0.999939,-0.011002,11.289189,8.040962
n2_chain_47f74576,0,0,4,17.826644,8.652027,9.174617,-0.958998,-0.283412,9.567715,6.133226
n2_chain_47f74576,0,1,4,18.405782,8.652027,9.753755,-0.958998,-0.283412,9.567715,6.133226
n2_chain_47f74576,0,2,4,18.865628,9.691011,9.174617,-0.715228,-0.698891,9.567715,6.133226
n2_chain_47f74576,0,3,4,19.444766,9.691011,9.753755,-0.715228,-0.698891,9.567715,6.133226
n2_chain_47f74576,1,0,4,17.113812,9.748883,7.364929,-0.571478,-0.820618,11.432429,4.419424
n2_chain_47f74576,1,1,4,17.815175,10.450246,7.364929,-0.999955,-0.009537,11.432429,4.419424
n2_chain_47f74576,1,2,4,19.566805,9.748883,9.817921,-0.571478,-0.820618,11.432429,4.419424
