uid,planner_seed,replan_idx,cluster_id,mode_idx,members,agent_tokens,obstacle_tokens,mode,k,density,y_exit,dt_delay,solo_exit_s,stalled
n2_chain_5fca519e,0,0,0,0,"0,1","[[1.3942883211754493, 0.4451927719345985, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0], [-1.3942883211754484, -0.44519277193459894, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]","[[-2.7402715819134587, 1.8245073717455416, 0.9283402577555355, 1.4956483146537087], [0.8659944051252833, 2.322500182999601, 0.7149979142762355, 0.8220981922823951]]",r00|A>B,2,0.0707355302630646,1,-9.9,10.0,0
n2_chain_5fca519e,0,0,0,1,"0,1","[[1.3942883211754493, 0.4451927719345985, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0], [-1.3942883211754484, -0.44519277193459894, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]","[[-2.7402715819134587, 1.8245073717455416, 0.9283402577555355, 1.4956483146537087], [0.8659944051252833, 2.322500182999601, 0.7149979142762355, 0.8220981922823951]]",r00|A>B|cs,2,0.0707355302630646,1,-9.9,10.0,0
n2_chain_5fca519e,0,0,0,2,"0,1","[[1.3942883211754493, 0.4451927719345985, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0], [-1.3942883211754484, -0.44519277193459894, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]","[[-2.7402715819134587, 1.8245073717455416, 0.9283402577555355, 1.4956483146537087], [0.8659944051252833, 2.322500182999601, 0.7149979142762355, 0.8220981922823951]]",r00|B>A|s,2,0.0707355302630646,1,-9.9,10.0,0
n2_chain_5fca519e,0,0,0,3,"0,1","[[1.3942883211754493, 0.4451927719345985, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0], [-1.3942883211754484, -0.44519277193459894, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]","[[-2.7402715819134587, 1.8245073717455416, 0.9283402577555355, 1.4956483146537087], [0.8659944051252833, 2.322500182999601, 0.7149979142762355, 0.8220981922823951]]",r01|A>B|s,2,0.0707355302630646,1,-9.9,10.0,0
n2_chain_5fca519e,0,0,0,4,"0,1","[[1.3942883211754493, 0.4451927719345985, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0], [-1.3942883211754484, -0.44519277193459894, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]","[[-2.7402715819134587, 1.8245073717455416, 0.9283402577555355, 1.4956483146537087], [0.8659944051252833, 2.322500182999601, 0.7149979142762355, 0.8220981922823951]]",r10|B>A|s,2,0.0707355302630646,1,-9.9,10.0,0
n2_chain_5fca519e,0,0,0,5,"0,1","[[1.3942883211754493, 0.4451927719345985, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0], [-1.3942883211754484, -0.44519277193459894, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]","[[-2.7402715819134587, 1.8245073717455416, 0.9283402577555355, 1.4956483146537087], [0.8659944051252833, 2.322500182999601, 0.7149979142762355, 0.8220981922823951]]",r02|B>A|cs,2,0.0707355302630646,1,-9.9,10.0,0
n2_chain_5fca519e,0,0,0,6,"0,1","[[1.3942883211754493, 0.4451927719345985, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0], [-1.3942883211754484, -0.44519277193459894, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]","[[-2.7402715819134587, 1.8245073717455416, 0.9283402577555355, 1.4956483146537087], [0.8659944051252833, 2.322500182999601, 0.7149979142762355, 0.8220981922823951]]",r11|B>A,2,0.0707355302630646,1,-9.9,10.0,0
n2_chain_5fca519e,0,0,0,7,"0,1","[[1.3942883211754493, 0.4451927719345985, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0], [-1.3942883211754484, -0.44519277193459894, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]","[[-2.7402715819134587, 1.8245073717455416, 0.9283402577555355, 1.4956483146537087], [0.8659944051252833, 2.322500182999601, 0.7149979142762355, 0.8220981922823951]]",r12|A>B|s,2,0.0707355302630646,1,-9.9,10.0,0
n2_chain_5fca519e,0,0,0,8,"0,1","[[1.3942883211754493, 0.4451927719345985, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0], [-1.3942883211754484, -0.44519277193459894, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]","[[-2.7402715819134587, 1.8245073717455416, 0.9283402577555355, 1.4956483146537087], [0.8659944051252833, 2.322500182999601, 0.7149979142762355, 0.8220981922823951]]",r12|B>A|cs,2,0.0707355302630646,1,-9.9,10.0,0
n2_chain_5fca519e,0,0,0,9,"0,1","[[1.3942883211754493, 0.4451927719345985, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0], [-1.3942883211754484, -0.44519277193459894, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]","[[-2.7402715819134587, 1.8245073717455416, 0.9283402577555355, 1.4956483146537087], [0.8659944051252833, 2.322500182999601, 0.7149979142762355, 0.8220981922823951]]",r21|B>A|cs,2,0.0707355302630646,1,-9.9,10.0,0
