uid,instance_seed,n_agents,dep_mode,size,n_obstacles,couple_prob,couple_dist,method,status,team_time,flow_time,distance,wait,valid,agent_clearance,obstacle_clearance,dep_violations,n_switches,runtime_s,lower_bound,ratio_to_bound,git_commit,planner_seed,timeout_s,n_modes,n_feasible_modes,chosen_is_fastest_feasible,note,n_amax_violations,n_amax_viol_stop,n_amax_viol_block,n_amax_viol_snap,n_amax_viol_project,n_project_active,n_blocked,n_evals,n_stalled_evals,max_accel,phys_fp
n2_none_ef7bbfdb,2,2,none,12.0,2-3,0.0,0.55,wm_planner,ok,11.6,22.8,23.221,1.518,True,0.838,0.4309,0,1,2.436,10.7,1.0841,88755d1,1,300.0,16,16,True,,4,2,0,2,0,165,0,104,0,10.4639,34f7729fcabc
n2_none_ba84dd23,1,2,none,12.0,2-3,0.0,0.55,wm_planner,ok,15.7,26.3,26.754,1.697,True,2.4019,0.3619,0,0,3.536,14.8,1.0608,88755d1,1,300.0,16,16,True,,3,1,0,2,0,200,0,136,0,5.6401,34f7729fcabc
n2_none_ef7bbfdb,2,2,none,12.0,2-3,0.0,0.55,lower_bound,ok,10.7,,,,,,,,,0.0,10.7,1.0,88755d1,0,300.0,,,,,,,,,,,,,,,34f7729fcabc
n2_none_ef7bbfdb,2,2,none,12.0,2-3,0.0,0.55,sequential,ok,21.4,32.1,22.973,10.7,True,4.4735,0.438,0,,0.009,10.7,2.0,88755d1,0,300.0,,,,,,,,,,,,,,,34f7729fcabc
n2_none_ef7bbfdb,2,2,none,12.0,2-3,0.0,0.55,wm_planner,ok,11.2,22.4,23.113,1.256,True,0.9215,0.4309,0,3,2.885,10.7,1.0467,88755d1,0,300.0,16,16,True,,4,2,0,2,0,164,0,104,0,10.4639,34f7729fcabc
n2_none_ef7bbfdb,2,2,none,12.0,2-3,0.0,0.55,wm_planner,ok,11.2,22.4,23.113,1.256,True,0.9215,0.4309,0,3,2.412,10.7,1.0467,88755d1,2,300.0,16,16,True,,4,2,0,2,0,164,0,104,0,10.4639,34f7729fcabc
n2_none_2b113dfe,4,2,none,12.0,2-3,0.0,0.55,lower_bound,ok,12.6,,,,,,,,,0.0,12.6,1.0,88755d1,0,300.0,,,,,,,,,,,,,,,34f7729fcabc
n2_none_2b113dfe,4,2,none,12.0,2-3,0.0,0.55,sequential,ok,23.6,34.6,24.676,11.0,True,2.5119,0.4962,0,,0.009,12.6,1.873,88755d1,0,300.0,,,,,,,,,,,,,,,34f7729fcabc
n2_none_2b113dfe,4,2,none,12.0,2-3,0.0,0.55,wm_planner,ok,13.3,24.6,24.767,1.251,True,2.5119,0.4469,0,0,2.464,12.6,1.0556,88755d1,0,300.0,16,16,True,,4,2,0,2,0,191,0,120,0,7.108,34f7729fcabc
n2_none_ead4aefb,9,2,none,10.0,6-8,1.0,0.55,lower_bound,ok,14.2,,,,,,,,,0.0,14.2,1.0,88755d1,0,300.0,,,,,,,,,,,,,,,34f7729fcabc
n2_none_ead4aefb,9,2,none,10.0,6-8,1.0,0.55,sequential,no_solution,,,,,,,,,,,14.2,,88755d1,0,300.0,,,,,,,,,,,,,,,34f7729fcabc
n2_none_ead4aefb,9,2,none,10.0,6-8,1.0,0.55,wm_planner,unfinished:deadlock: no team progress,22.0,38.1,17.82,22.469,False,1.7383,0.3355,0,1,5.038,14.2,1.5493,88755d1,0,300.0,16,16,True,deadlock: no team progress,2,1,0,1,0,115,206,184,0,6.6331,34f7729fcabc
n2_none_2a662210,5,2,none,12.0,2-3,0.0,0.55,lower_bound,ok,9.7,,,,,,,,,0.0,9.7,1.0,88755d1,0,300.0,,,,,,,,,,,,,,,34f7729fcabc
n2_none_2a662210,5,2,none,12.0,2-3,0.0,0.55,sequential,no_solution,,,,,,,,,,,9.7,,88755d1,0,300.0,,,,,,,,,,,,,,,34f7729fcabc
n2_none_2a662210,5,2,none,12.0,2-3,0.0,0.55,wm_planner,ok,10.8,20.1,18.084,1.875,True,2.5342,0.4308,0,0,1.818,9.7,1.1134,88755d1,0,300.0,16,16,True,,2,2,0,0,0,130,0,96,0,9.5222,34f7729fcabc
n2_none_ead4aefb,9,2,none,10.0,6-8,1.0,0.55,wm_planner,unfinished:deadlock: no team progress,23.0,39.6,18.557,23.369,False,1.7383,0.3355,0,1,5.306,14.2,1.6197,88755d1,1,300.0,16,16,True,deadlock: no team progress,2,1,0,1,0,122,216,192,0,6.6331,34f7729fcabc
n2_none_60ee8a5d,3,2,none,12.0,2-3,0.0,0.55,wm_planner,ok,19.1,30.6,33.096,1.577,True,1.4529,0.3535,0,0,3.338,18.8,1.016,88755d1,2,300.0,16,16,True,,1,1,0,0,0,244,0,168,0,8.5267,34f7729fcabc
n2_none_2a662210,5,2,none,12.0,2-3,0.0,0.55,wm_planner,ok,10.8,20.1,18.073,1.881,True,2.5354,0.4308,0,0,1.807,9.7,1.1134,88755d1,1,300.0,16,16,True,,2,2,0,0,0,130,0,96,0,9.6473,34f7729fcabc
n2_none_2b113dfe,4,2,none,12.0,2-3,0.0,0.55,wm_planner,ok,13.3,24.6,24.767,1.251,True,2.5119,0.4469,0,0,3.145,12.6,1.0556,88755d1,1,300.0,16,16,True,,4,2,0,2,0,191,0,120,0,7.108,34f7729fcabc
n2_none_2a662210,5,2,none,12.0,2-3,0.0,0.55,wm_planner,ok,10.8,20.1,18.073,1.881,True,2.5354,0.4308,0,0,1.839,9.7,1.1134,88755d1,2,300.0,16,16,True,,2,2,0,0,0,130,0,96,0,9.6473,34f7729fcabc
n2_none_2b113dfe,4,2,none,12.0,2-3,0.0,0.55,wm_planner,ok,13.3,24.6,24.767,1.251,True,2.5119,0.4469,0,0,3.083,12.6,1.0556,88755d1,2,300.0,16,16,True,,4,2,0,2,0,191,0,120,0,7.108,34f7729fcabc
n2_none_60ee8a5d,3,2,none,12.0,2-3,0.0,0.55,lower_bound,ok,18.8,,,,,,,,,0.0,18.8,1.0,88755d1,0,300.0,,,,,,,,,,,,,,,34f7729fcabc
n2_none_60ee8a5d,3,2,none,12.0,2-3,0.0,0.55,sequential,ok,29.3,39.8,32.883,10.5,True,2.2124,0.368,0,,0.013,18.8,1.5585,88755d1,0,300.0,,,,,,,,,,,,,,,34f7729fcabc
n2_none_60ee8a5d,3,2,none,12.0,2-3,0.0,0.55,wm_planner,ok,19.1,30.7,33.047,1.718,True,1.5551,0.3535,0,0,4.042,18.8,1.016,88755d1,0,300.0,16,16,True,,1,1,0,0,0,244,1,168,0,8.5267,34f7729fcabc
n2_none_fc14cac6,7,2,none,12.0,2-3,0.0,0.55,lower_bound,ok,12.0,,,,,,,,,0.0,12.0,1.0,88755d1,0,300.0,,,,,,,,,,,,,,,34f7729fcabc
n2_none_fc14cac6,7,2,none,12.0,2-3,0.0,0.55,sequential,ok,17.2,22.4,17.094,5.2,True,1.3754,0.452,0,,0.005,12.0,1.4333,88755d1,0,300.0,,,,,,,,,,,,,,,34f7729fcabc
n2_none_fc14cac6,7,2,none,12.0,2-3,0.0,0.55,wm_planner,ok,12.5,18.7,17.844,1.098,True,1.412,0.4321,0,0,1.815,12.0,1.0417,88755d1,0,300.0,16,16,True,,6,2,0,4,0,129,1,112,0,8.5952,34f7729fcabc
n2_none_60ee8a5d,3,2,none,12.0,2-3,0.0,0.55,wm_planner,ok,19.1,30.8,33.463,1.471,True,3.0944,0.3222,0,1,4.346,18.8,1.016,88755d1,1,300.0,16,16,True,,3,2,0,1,0,252,0,168,0,7.4091,34f7729fcabc
n2_none_fc14cac6,7,2,none,12.0,2-3,0.0,0.55,wm_planner,ok,12.9,19.0,17.959,1.313,True,1.4088,0.4437,0,0,1.913,12.0,1.075,88755d1,1,300.0,16,16,True,,3,2,0,1,0,130,0,112,0,9.479,34f7729fcabc
n2_none_7e0cdb61,6,2,none,12.0,2-3,0.0,0.55,wm_planner,ok,14.2,23.7,24.623,0.877,True,3.6889,0.5008,0,0,2.818,13.9,1.0216,88755d1,1,300.0,16,16,True,,4,2,0,2,0,192,0,128,0,10.3713,34f7729fcabc
n2_none_fc14cac6,7,2,none,12.0,2-3,0.0,0.55,wm_planner,ok,12.5,18.7,17.844,1.098,True,1.412,0.4321,0,0,2.245,12.0,1.0417,88755d1,2,300.0,16,16,True,,6,2,0,4,0,129,1,112,0,8.5952,34f7729fcabc
n2_none_7e0cdb61,6,2,none,12.0,2-3,0.0,0.55,lower_bound,ok,13.9,,,,,,,,,0.0,13.9,1.0,88755d1,0,300.0,,,,,,,,,,,,,,,34f7729fcabc
n2_none_7e0cdb61,6,2,none,12.0,2-3,0.0,0.55,sequential,no_solution,,,,,,,,,,,13.9,,88755d1,0,300.0,,,,,,,,,,,,,,,34f7729fcabc
n2_none_7e0cdb61,6,2,none,12.0,2-3,0.0,0.55,wm_planner,ok,14.2,23.7,24.623,0.877,True,3.6889,0.5008,0,0,3.091,13.9,1.0216,88755d1,0,300.0,16,16,True,,4,2,0,2,0,192,0,128,0,10.3713,34f7729fcabc
n2_none_7e0cdb61,6,2,none,12.0,2-3,0.0,0.55,wm_planner,ok,14.2,23.7,24.623,0.877,True,3.6889,0.5008,0,0,3.131,13.9,1.0216,88755d1,2,300.0,16,16,True,,4,2,0,2,0,192,0,128,0,10.3713,34f7729fcabc
n2_none_916bffe1,8,2,none,12.0,2-3,0.0,0.55,wm_planner,ok,13.5,22.0,21.815,1.895,True,1.9223,0.3456,0,0,2.261,12.8,1.0547,88755d1,1,300.0,16,16,True,,2,1,0,1,0,157,0,120,0,9.6027,34f7729fcabc
