uid,planner_seed,replan_idx,cluster_id,mode_idx,members,agent_tokens,obstacle_tokens,mode,k,n_agents,phase_sig,density,loss_max,loss_sum,loss_min,losses,prog_alone_sum,prog_together_sum,prog_together_min,stalled,blocked,dwell_alone,dwell_together,dedup_key
n2_chain_44dbed2b,0,3,0,0,"0,1","[[-0.92558, 0.27319, 1.1908, -0.14832, 1.0, 0.0, 0.0, 0.0], [0.92558, -0.27319, 0.38361, 1.13703, 1.0, 0.0, 0.0, 0.0]]","[[-7.27071, -1.96005, 0.89677, 0.64507], [-1.60179, -4.41684, 1.60403, 1.2673], [-3.81013, -8.68535, 1.19561, 0.92968]]",r00|A>B,2,2,00,0.0707355302630646,2.7983604800606887,2.7983604800606887,0.0,"0.00000,2.79836",14.7394424528485,11.941081972787812,5.804292497522402,0,0,30,30,bab05d3ae8d47840
n2_chain_44dbed2b,0,3,0,1,"0,1","[[-0.92558, 0.27319, 1.1908, -0.14832, 1.0, 0.0, 0.0, 0.0], [0.92558, -0.27319, 0.38361, 1.13703, 1.0, 0.0, 0.0, 0.0]]","[[-7.27071, -1.96005, 0.89677, 0.64507], [-1.60179, -4.41684, 1.60403, 1.2673], [-3.81013, -8.68535, 1.19561, 0.92968]]",r00|A>B|s,2,2,00,0.0707355302630646,2.7983604800606887,2.8479637264614173,0.04960324640072855,"0.04960,2.79836",14.7394424528485,11.891478726387083,5.754689251121674,0,0,30,30,c194373105bc337a
n2_chain_44dbed2b,0,3,0,2,"0,1","[[-0.92558, 0.27319, 1.1908, -0.14832, 1.0, 0.0, 0.0, 0.0], [0.92558, -0.27319, 0.38361, 1.13703, 1.0, 0.0, 0.0, 0.0]]","[[-7.27071, -1.96005, 0.89677, 0.64507], [-1.60179, -4.41684, 1.60403, 1.2673], [-3.81013, -8.68535, 1.19561, 0.92968]]",r00|A>B|cs,2,2,00,0.0707355302630646,4.397423611523939,4.4470268579246675,0.04960324640072855,"0.04960,4.39742",14.7394424528485,10.292415594923833,4.537726343802159,0,0,30,30,06d19f00ff4b723f
n2_chain_44dbed2b,0,3,0,3,"0,1","[[-0.92558, 0.27319, 1.1908, -0.14832, 1.0, 0.0, 0.0, 0.0], [0.92558, -0.27319, 0.38361, 1.13703, 1.0, 0.0, 0.0, 0.0]]","[[-7.27071, -1.96005, 0.89677, 0.64507], [-1.60179, -4.41684, 1.60403, 1.2673], [-3.81013, -8.68535, 1.19561, 0.92968]]",r00|B>A,2,2,00,0.0707355302630646,3.398009154359407,3.398009154359407,0.0,"0.00000,3.39801",14.7394424528485,11.341433298489093,5.537140800966691,0,0,30,30,06a179a35e2d3b6d
n2_chain_44dbed2b,0,3,0,4,"0,1","[[-0.92558, 0.27319, 1.1908, -0.14832, 1.0, 0.0, 0.0, 0.0], [0.92558, -0.27319, 0.38361, 1.13703, 1.0, 0.0, 0.0, 0.0]]","[[-7.27071, -1.96005, 0.89677, 0.64507], [-1.60179, -4.41684, 1.60403, 1.2673], [-3.81013, -8.68535, 1.19561, 0.92968]]",r01|A>B|cs,2,2,00,0.0707355302630646,4.447394334382166,4.496997580782894,0.04960324640072855,"0.04960,4.44739",14.7394424528485,10.242444872065606,4.487755620943933,0,0,30,30,4551c429bc28dae6
n2_chain_44dbed2b,0,3,0,5,"0,1","[[-0.92558, 0.27319, 1.1908, -0.14832, 1.0, 0.0, 0.0, 0.0], [0.92558, -0.27319, 0.38361, 1.13703, 1.0, 0.0, 0.0, 0.0]]","[[-7.27071, -1.96005, 0.89677, 0.64507], [-1.60179, -4.41684, 1.60403, 1.2673], [-3.81013, -8.68535, 1.19561, 0.92968]]",r01|B>A|s,2,2,00,0.0707355302630646,4.647277225815072,4.647277225815072,0.0,"0.00000,4.64728",14.7394424528485,10.092165227033428,4.287872729511026,0,0,30,30,da1db2e7175f2c2c
n2_chain_44dbed2b,0,3,0,6,"0,1","[[-0.92558, 0.27319, 1.1908, -0.14832, 1.0, 0.0, 0.0, 0.0], [0.92558, -0.27319, 0.38361, 1.13703, 1.0, 0.0, 0.0, 0.0]]","[[-7.27071, -1.96005, 0.89677, 0.64507], [-1.60179, -4.41684, 1.60403, 1.2673], [-3.81013, -8.68535, 1.19561, 0.92968]]",r10|A>B,2,2,00,0.0707355302630646,2.7983604800606887,2.7983604800606887,0.0,"0.00000,2.79836",14.7394424528485,11.941081972787812,5.804292497522402,0,0,30,30,9d4d98b5b92a7c46
n2_chain_44dbed2b,0,3,0,7,"0,1","[[-0.92558, 0.27319, 1.1908, -0.14832, 1.0, 0.0, 0.0, 0.0], [0.92558, -0.27319, 0.38361, 1.13703, 1.0, 0.0, 0.0, 0.0]]","[[-7.27071, -1.96005, 0.89677, 0.64507], [-1.60179, -4.41684, 1.60403, 1.2673], [-3.81013, -8.68535, 1.19561, 0.92968]]",r02|A>B,2,2,00,0.0707355302630646,2.7983604800606887,2.7983604800606887,0.0,"0.00000,2.79836",14.7394424528485,11.941081972787812,5.804292497522402,0,0,30,30,9df734635b9f7bd9
n2_chain_44dbed2b,0,3,0,8,"0,1","[[-0.92558, 0.27319, 1.1908, -0.14832, 1.0, 0.0, 0.0, 0.0], [0.92558, -0.27319, 0.38361, 1.13703, 1.0, 0.0, 0.0, 0.0]]","[[-7.27071, -1.96005, 0.89677, 0.64507], [-1.60179, -4.41684, 1.60403, 1.2673], [-3.81013, -8.68535, 1.19561, 0.92968]]",r02|B>A|s,2,2,00,0.0707355302630646,4.597306502956846,4.597306502956846,0.0,"0.00000,4.59731",14.7394424528485,10.142135949891655,4.337843452369253,0,0,30,30,b64a23c805fddc78
n2_chain_44dbed2b,0,3,0,9,"0,1","[[-0.92558, 0.27319, 1.1908, -0.14832, 1.0, 0.0, 0.0, 0.0], [0.92558, -0.27319, 0.38361, 1.13703, 1.0, 0.0, 0.0, 0.0]]","[[-7.27071, -1.96005, 0.89677, 0.64507], [-1.60179, -4.41684, 1.60403, 1.2673], [-3.81013, -8.68535, 1.19561, 0.92968]]",r02|B>A|cs,2,2,00,0.0707355302630646,4.847160117247979,4.847160117247979,0.0,"0.00000,4.84716",14.7394424528485,9.892282335600521,4.087989838078119,0,0,30,30,fe706ef1b55725f9
