uid,instance_seed,n_agents,dep_mode,size,n_obstacles,couple_prob,couple_dist,method,status,team_time,flow_time,distance,wait,valid,agent_clearance,obstacle_clearance,dep_violations,n_switches,runtime_s,lower_bound,ratio_to_bound,git_commit,planner_seed,timeout_s,n_modes,n_feasible_modes,chosen_is_fastest_feasible,note,n_amax_violations,n_amax_viol_stop,n_amax_viol_block,n_amax_viol_snap,n_amax_viol_project,n_project_active,n_blocked,n_free_steps_calls,n_agent_violations,n_obstacle_violations,min_agent_clearance,min_obstacle_clearance,first_violation_t,n_evals,n_stalled_evals,max_accel,phys_fp
n2_chain_062b2ca2,4,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,10.9,20.6,11.169,8.263,True,2.867,0.3547,0,1,4.977,9.5,1.1474,1cabda9,2,300.0,12,12,True,,4,2,1,1,0,66,1,531,0,0,2.867013,0.354748,-1,92,0,9.752,b414b4637808
n2_chain_062b2ca2,4,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,9.5,,,,,,,,,0.0,9.5,1.0,1cabda9,0,300.0,,,,,,,,,,,,,,,,,,,,,b414b4637808
n2_chain_062b2ca2,4,2,chain,8.0,2-3,0.0,0.55,sequential,ok,12.7,21.6,11.224,8.9,True,2.867,0.466,0,,0.004,9.5,1.3368,1cabda9,0,300.0,,,,,,,,,,,,,0,0,2.867013,0.465978,-1,,,,b414b4637808
n2_chain_062b2ca2,4,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,10.9,20.6,11.169,8.263,True,2.867,0.3547,0,1,4.991,9.5,1.1474,1cabda9,0,300.0,12,12,True,,4,2,1,1,0,66,1,531,0,0,2.867013,0.354748,-1,92,0,9.752,b414b4637808
n2_chain_0d69eec5,0,2,chain,8.0,2-3,0.0,0.55,wm_planner,unfinished:deadlock: no team progress,17.0,28.1,12.403,15.393,False,4.2521,0.3234,0,1,5.461,9.3,1.828,1cabda9,1,300.0,16,16,True,deadlock: no team progress,4,2,1,1,0,69,1,720,0,0,4.252143,0.323449,-1,144,0,9.1646,b414b4637808
n2_chain_0d69eec5,0,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,11.1,20.9,15.059,6.001,True,4.2069,0.331,0,3,5.903,9.3,1.1935,1cabda9,2,300.0,16,16,True,,5,2,1,2,0,84,1,628,0,0,4.20687,0.330963,-1,104,0,9.0105,b414b4637808
n2_chain_add0f77c,3,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,12.2,22.3,19.556,4.546,True,2.4363,0.3648,0,1,6.364,11.1,1.0991,1cabda9,2,300.0,16,16,True,,5,2,1,2,0,133,1,744,0,0,2.436268,0.364753,-1,112,0,9.5506,b414b4637808
n2_chain_add0f77c,3,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,12.2,22.3,19.556,4.546,True,2.4363,0.3648,0,1,6.651,11.1,1.0991,1cabda9,1,300.0,16,16,True,,5,2,1,2,0,133,1,744,0,0,2.436268,0.364753,-1,112,0,9.5506,b414b4637808
n2_chain_0870fe7e,7,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,7.8,,,,,,,,,0.0,7.8,1.0,1cabda9,0,300.0,,,,,,,,,,,,,,,,,,,,,b414b4637808
n2_chain_0870fe7e,7,2,chain,8.0,2-3,0.0,0.55,sequential,ok,11.7,19.5,10.932,7.8,True,1.9208,0.8647,0,,0.004,7.8,1.5,1cabda9,0,300.0,,,,,,,,,,,,,0,0,1.920843,0.86471,-1,,,,b414b4637808
n2_chain_0870fe7e,7,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,8.4,15.5,11.258,3.841,True,3.6431,0.8647,0,0,2.689,7.8,1.0769,1cabda9,0,300.0,16,16,True,,5,2,1,2,0,75,1,450,0,0,3.643101,0.86471,-1,80,0,11.8837,b414b4637808
n2_chain_0870fe7e,7,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,8.4,15.5,11.258,3.841,True,3.6431,0.8647,0,0,2.803,7.8,1.0769,1cabda9,1,300.0,16,16,True,,5,2,1,2,0,75,1,450,0,0,3.643101,0.86471,-1,80,0,11.8837,b414b4637808
n2_chain_0870fe7e,7,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,8.4,15.5,11.018,4.041,True,3.6431,0.8647,0,1,2.727,7.8,1.0769,1cabda9,2,300.0,16,16,True,,6,2,1,3,0,70,1,444,0,0,3.643101,0.86471,-1,80,0,8.5222,b414b4637808
n2_chain_19520b24,5,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,13.2,,,,,,,,,0.0,13.2,1.0,1cabda9,0,300.0,,,,,,,,,,,,,,,,,,,,,b414b4637808
n2_chain_19520b24,5,2,chain,8.0,2-3,0.0,0.55,sequential,ok,18.0,24.3,17.987,6.3,True,1.6358,0.4114,0,,0.006,13.2,1.3636,1cabda9,0,300.0,,,,,,,,,,,,,0,0,1.635818,0.411397,-1,,,,b414b4637808
n2_chain_19520b24,5,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,15.0,22.0,18.303,4.027,True,1.4044,0.3752,0,2,4.75,13.2,1.1364,1cabda9,0,300.0,16,16,True,,6,2,1,3,0,124,1,697,0,0,1.404388,0.375187,-1,128,0,9.7805,b414b4637808
n2_chain_19520b24,5,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,15.1,22.1,18.282,4.172,True,1.3632,0.3748,0,3,5.159,13.2,1.1439,1cabda9,2,300.0,16,16,True,,6,1,2,3,0,125,2,698,0,0,1.363209,0.374806,-1,136,0,9.7433,b414b4637808
n2_chain_19520b24,5,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,15.0,22.0,18.303,4.027,True,1.4044,0.3752,0,3,5.715,13.2,1.1364,1cabda9,1,300.0,16,16,True,,6,2,1,3,0,124,1,697,0,0,1.404388,0.375187,-1,128,0,9.7805,b414b4637808
n2_chain_810c8d4a,6,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,11.9,20.4,18.491,2.672,True,1.067,0.3326,0,0,4.915,10.2,1.1667,1cabda9,1,300.0,16,16,True,,7,2,1,4,0,124,1,680,0,0,1.066964,0.33256,-1,104,0,9.5703,b414b4637808
n2_chain_810c8d4a,6,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,10.2,,,,,,,,,0.0,10.2,1.0,1cabda9,0,300.0,,,,,,,,,,,,,,,,,,,,,b414b4637808
n2_chain_810c8d4a,6,2,chain,8.0,2-3,0.0,0.55,sequential,ok,17.4,25.0,17.749,7.6,True,2.972,0.3918,0,,0.007,10.2,1.7059,1cabda9,0,300.0,,,,,,,,,,,,,0,0,2.972035,0.391758,-1,,,,b414b4637808
n2_chain_810c8d4a,6,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,11.6,19.9,18.101,2.497,True,0.9236,0.3326,0,2,5.917,10.2,1.1373,1cabda9,0,300.0,16,16,True,,6,2,0,4,0,101,0,677,0,0,0.923604,0.33256,-1,104,0,4.9706,b414b4637808
n2_chain_2f442b4e,1,2,chain,8.0,2-3,1.0,0.55,lower_bound,ok,6.5,,,,,,,,,0.0,6.5,1.0,1cabda9,0,300.0,,,,,,,,,,,,,,,,,,,,,b414b4637808
n2_chain_2f442b4e,1,2,chain,8.0,2-3,1.0,0.55,sequential,ok,11.7,18.2,11.413,6.5,True,2.5347,0.4599,0,,0.004,6.5,1.8,1cabda9,0,300.0,,,,,,,,,,,,,0,0,2.534715,0.459927,-1,,,,b414b4637808
n2_chain_2f442b4e,1,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,6.8,12.6,11.52,1.112,True,0.9367,0.4478,0,0,2.524,6.5,1.0462,1cabda9,0,300.0,12,12,True,,4,2,0,2,0,74,0,405,0,0,0.936736,0.447762,-1,60,0,9.4909,b414b4637808
n2_chain_810c8d4a,6,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,11.9,20.4,18.515,2.652,True,1.0755,0.3288,0,1,6.109,10.2,1.1667,1cabda9,2,300.0,16,16,True,,7,2,1,4,0,124,1,679,0,0,1.075488,0.328794,-1,104,0,9.0,b414b4637808
n2_chain_0bbc5f6a,8,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,13.3,23.9,18.45,6.216,True,1.258,0.3424,0,0,5.173,11.5,1.1565,1cabda9,2,300.0,16,16,True,,4,1,1,2,0,113,1,747,0,0,1.25798,0.342364,-1,120,0,9.4566,b414b4637808
n2_chain_2f442b4e,1,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,6.8,12.6,11.52,1.112,True,0.9367,0.4478,0,0,2.241,6.5,1.0462,1cabda9,1,300.0,12,12,True,,4,2,0,2,0,74,0,405,0,0,0.936736,0.447762,-1,60,0,9.4909,b414b4637808
n2_chain_2f442b4e,1,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,6.8,12.6,11.52,1.112,True,0.9367,0.4478,0,0,2.774,6.5,1.0462,1cabda9,2,300.0,12,12,True,,4,2,0,2,0,74,0,405,0,0,0.936736,0.447762,-1,60,0,9.4909,b414b4637808
n2_chain_0bbc5f6a,8,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,13.3,23.5,18.157,6.061,True,1.2538,0.3391,0,3,6.758,11.5,1.1565,1cabda9,1,300.0,16,16,True,,6,2,1,3,0,105,1,730,0,0,1.253811,0.339121,-1,120,0,9.4566,b414b4637808
n2_chain_e25e3efb,9,2,chain,8.0,2-3,0.0,0.55,wm_planner,unfinished:deadlock: no team progress,11.0,22.0,8.676,14.77,False,5.1187,0.3274,0,0,5.567,10.6,1.0377,1cabda9,2,300.0,16,16,True,deadlock: no team progress,1,0,1,0,0,60,1,589,0,0,5.118703,0.327367,-1,96,0,7.3999,b414b4637808
n2_chain_0bbc5f6a,8,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,11.5,,,,,,,,,0.0,11.5,1.0,1cabda9,0,300.0,,,,,,,,,,,,,,,,,,,,,b414b4637808
n2_chain_0bbc5f6a,8,2,chain,8.0,2-3,0.0,0.55,sequential,ok,17.8,26.8,18.189,9.0,True,1.1895,0.4006,0,,0.007,11.5,1.5478,1cabda9,0,300.0,,,,,,,,,,,,,0,0,1.189462,0.40057,-1,,,,b414b4637808
n2_chain_0bbc5f6a,8,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,13.3,23.9,19.15,5.629,True,1.258,0.3424,0,0,7.344,11.5,1.1565,1cabda9,0,300.0,16,16,True,,4,1,1,2,0,120,1,758,0,0,1.25798,0.342364,-1,120,0,9.2255,b414b4637808
n2_chain_e25e3efb,9,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,10.6,,,,,,,,,0.0,10.6,1.0,1cabda9,0,300.0,,,,,,,,,,,,,,,,,,,,,b414b4637808
n2_chain_e25e3efb,9,2,chain,8.0,2-3,0.0,0.55,sequential,ok,18.7,28.6,19.376,9.9,True,1.0228,0.4123,0,,0.014,10.6,1.7642,1cabda9,0,300.0,,,,,,,,,,,,,0,0,1.022767,0.412316,-1,,,,b414b4637808
n2_chain_e25e3efb,9,2,chain,8.0,2-3,0.0,0.55,wm_planner,unfinished:deadlock: no team progress,11.0,22.0,8.794,14.671,False,4.9342,0.3274,0,0,6.772,10.6,1.0377,1cabda9,0,300.0,16,16,True,deadlock: no team progress,1,0,1,0,0,61,1,591,0,0,4.934205,0.327367,-1,96,0,7.3196,b414b4637808
n2_chain_e25e3efb,9,2,chain,8.0,2-3,0.0,0.55,wm_planner,unfinished:deadlock: no team progress,11.0,22.0,8.618,14.819,False,5.1107,0.326,0,0,6.794,10.6,1.0377,1cabda9,1,300.0,16,16,True,deadlock: no team progress,1,0,1,0,0,60,1,588,0,0,5.110661,0.326035,-1,96,0,7.3999,b414b4637808
n2_chain_5a72ff5b,2,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,9.9,19.6,14.895,4.496,True,0.9498,0.6907,0,2,4.347,9.3,1.0645,1cabda9,1,300.0,16,16,True,,4,1,1,2,0,92,1,595,0,0,0.949798,0.690658,-1,88,0,9.411,b414b4637808
n2_chain_5c29c9ac,0,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,15.4,29.6,21.482,9.348,True,0.9818,0.351,0,1,7.026,13.0,1.1846,1cabda9,1,300.0,16,16,True,,6,2,1,3,0,117,1,925,0,0,0.981846,0.350991,-1,136,0,9.1646,b414b4637808
