uid,planner_seed,replan_idx,cluster_id,mode_idx,members,agent_tokens,obstacle_tokens,mode,k,n_agents,phase_sig,density,loss_max,loss_sum,loss_min,losses,prog_alone_sum,prog_together_sum,prog_together_min,stalled,blocked,dwell_alone,dwell_together,dedup_key
n3_fork_c3d838a1,0,3,0,0,"0,1","[[-1.34388, -0.00279, 1.07108, -0.5411, 1.0, 0.0, 0.0, 0.0], [1.34388, 0.00279, -1.09174, -0.4981, 0.0, 0.0, 1.0, 0.0]]","[[-5.98075, -0.87687, 0.89677, 0.64507], [-1.73777, -2.79437, 1.60403, 1.2673]]",r000|A>B>C,2,3,02,0.0707355302630646,0.0,0.0,0.0,"0.00000,0.00000",15.360810490782132,15.360810490782132,6.993414096728648,0,0,13,13,a5341e889a09d8fb
n3_fork_c3d838a1,0,3,0,1,"0,1","[[-1.34388, -0.00279, 1.07108, -0.5411, 1.0, 0.0, 0.0, 0.0], [1.34388, 0.00279, -1.09174, -0.4981, 0.0, 0.0, 1.0, 0.0]]","[[-5.98075, -0.87687, 0.89677, 0.64507], [-1.73777, -2.79437, 1.60403, 1.2673]]",r000|B>C>A|s,2,3,02,0.0707355302630646,0.0,-0.049805930916985375,-0.049805930916985375,"0.00000,-0.04981",15.360810490782132,15.410616421699117,6.993414096728648,0,0,13,13,80d3f949737f2712
n3_fork_c3d838a1,0,3,0,2,"0,1","[[-1.34388, -0.00279, 1.07108, -0.5411, 1.0, 0.0, 0.0, 0.0], [1.34388, 0.00279, -1.09174, -0.4981, 0.0, 0.0, 1.0, 0.0]]","[[-5.98075, -0.87687, 0.89677, 0.64507], [-1.73777, -2.79437, 1.60403, 1.2673]]",r001|B>A>C,2,3,02,0.0707355302630646,0.0,-0.09961186183397075,-0.09961186183397075,"0.00000,-0.09961",15.360810490782132,15.460422352616103,6.993414096728648,0,0,13,13,389e8d35d297e7e0
n3_fork_c3d838a1,0,3,0,3,"0,1","[[-1.34388, -0.00279, 1.07108, -0.5411, 1.0, 0.0, 0.0, 0.0], [1.34388, 0.00279, -1.09174, -0.4981, 0.0, 0.0, 1.0, 0.0]]","[[-5.98075, -0.87687, 0.89677, 0.64507], [-1.73777, -2.79437, 1.60403, 1.2673]]",r010|B>A>C|s,2,3,02,0.0707355302630646,0.0,-1.195342342007642,-1.195342342007642,"0.00000,-1.19534",15.360810490782132,16.556152832789774,6.993414096728648,0,0,13,13,a1ef35db88c346c5
n3_fork_c3d838a1,0,3,0,4,"0,1","[[-1.34388, -0.00279, 1.07108, -0.5411, 1.0, 0.0, 0.0, 0.0], [1.34388, 0.00279, -1.09174, -0.4981, 0.0, 0.0, 1.0, 0.0]]","[[-5.98075, -0.87687, 0.89677, 0.64507], [-1.73777, -2.79437, 1.60403, 1.2673]]",r020|B>C>A|s,2,3,02,0.0707355302630646,0.0,-0.049805930916985375,-0.049805930916985375,"0.00000,-0.04981",15.360810490782132,15.410616421699117,6.993414096728648,0,0,13,13,7d8451da715e3817
n3_fork_c3d838a1,0,3,0,5,"0,1","[[-1.34388, -0.00279, 1.07108, -0.5411, 1.0, 0.0, 0.0, 0.0], [1.34388, 0.00279, -1.09174, -0.4981, 0.0, 0.0, 1.0, 0.0]]","[[-5.98075, -0.87687, 0.89677, 0.64507], [-1.73777, -2.79437, 1.60403, 1.2673]]",r200|B>C>A,2,3,02,0.0707355302630646,0.0,-0.049805930916985375,-0.049805930916985375,"0.00000,-0.04981",15.360810490782132,15.410616421699117,6.993414096728648,0,0,13,13,dde88476d01fee68
n3_fork_c3d838a1,0,3,0,6,"0,1","[[-1.34388, -0.00279, 1.07108, -0.5411, 1.0, 0.0, 0.0, 0.0], [1.34388, 0.00279, -1.09174, -0.4981, 0.0, 0.0, 1.0, 0.0]]","[[-5.98075, -0.87687, 0.89677, 0.64507], [-1.73777, -2.79437, 1.60403, 1.2673]]",r021|C>A>B,2,3,02,0.0707355302630646,0.0,0.0,0.0,"0.00000,0.00000",15.360810490782132,15.360810490782132,6.993414096728648,0,0,13,13,a7a0edc2a83fd6d7
n3_fork_c3d838a1,0,3,0,7,"0,1","[[-1.34388, -0.00279, 1.07108, -0.5411, 1.0, 0.0, 0.0, 0.0], [1.34388, 0.00279, -1.09174, -0.4981, 0.0, 0.0, 1.0, 0.0]]","[[-5.98075, -0.87687, 0.89677, 0.64507], [-1.73777, -2.79437, 1.60403, 1.2673]]",r031|A>B>C,2,3,02,0.0707355302630646,0.0,-1.195342342007642,-1.195342342007642,"0.00000,-1.19534",15.360810490782132,16.556152832789774,6.993414096728648,0,0,13,13,7cb431ac53ee5f25
n3_fork_c3d838a1,0,3,0,8,"0,1","[[-1.34388, -0.00279, 1.07108, -0.5411, 1.0, 0.0, 0.0, 0.0], [1.34388, 0.00279, -1.09174, -0.4981, 0.0, 0.0, 1.0, 0.0]]","[[-5.98075, -0.87687, 0.89677, 0.64507], [-1.73777, -2.79437, 1.60403, 1.2673]]",r031|A>B>C|s,2,3,02,0.0707355302630646,0.0,-1.195342342007642,-1.195342342007642,"0.00000,-1.19534",15.360810490782132,16.556152832789774,6.993414096728648,0,0,13,13,cea32515e3daf7cb
n3_fork_c3d838a1,0,3,0,9,"0,1","[[-1.34388, -0.00279, 1.07108, -0.5411, 1.0, 0.0, 0.0, 0.0], [1.34388, 0.00279, -1.09174, -0.4981, 0.0, 0.0, 1.0, 0.0]]","[[-5.98075, -0.87687, 0.89677, 0.64507], [-1.73777, -2.79437, 1.60403, 1.2673]]",r211|B>A>C|s,2,3,02,0.0707355302630646,0.0,-1.195342342007642,-1.195342342007642,"0.00000,-1.19534",15.360810490782132,16.556152832789774,6.993414096728648,0,0,13,13,b77ec06d0e54e12b
n3_fork_c3d838a1,0,3,0,10,"0,1","[[-1.34388, -0.00279, 1.07108, -0.5411, 1.0, 0.0, 0.0, 0.0], [1.34388, 0.00279, -1.09174, -0.4981, 0.0, 0.0, 1.0, 0.0]]","[[-5.98075, -0.87687, 0.89677, 0.64507], [-1.73777, -2.79437, 1.60403, 1.2673]]",r211|C>B>A|s,2,3,02,0.0707355302630646,6.144509149163549,12.270638651952709,6.1261295027891585,"6.14451,6.12613",15.360810490782132,3.0901718388294244,0.8489049475650985,0,0,13,13,d489913b8014bad4
n3_fork_c3d838a1,0,3,0,11,"0,1","[[-1.34388, -0.00279, 1.07108, -0.5411, 1.0, 0.0, 0.0, 0.0], [1.34388, 0.00279, -1.09174, -0.4981, 0.0, 0.0, 1.0, 0.0]]","[[-5.98075, -0.87687, 0.89677, 0.64507], [-1.73777, -2.79437, 1.60403, 1.2673]]",r220|B>C>A|cs,2,3,02,0.0707355302630646,6.64406273852644,6.64406273852644,0.0,"6.64406,0.00000",15.360810490782132,8.716747752255692,0.34935135820220786,0,1,13,13,98912d10570d9e7d
n3_fork_c3d838a1,0,3,0,12,"0,1","[[-1.34388, -0.00279, 1.07108, -0.5411, 1.0, 0.0, 0.0, 0.0], [1.34388, 0.00279, -1.09174, -0.4981, 0.0, 0.0, 1.0, 0.0]]","[[-5.98075, -0.87687, 0.89677, 0.64507], [-1.73777, -2.79437, 1.60403, 1.2673]]",r230|C>A>B|cs,2,3,02,0.0707355302630646,0.0,-1.195342342007642,-1.195342342007642,"0.00000,-1.19534",15.360810490782132,16.556152832789774,6.993414096728648,0,0,13,13,d8ac8e7738427cc5
n3_fork_c3d838a1,0,3,0,13,"0,1","[[-1.34388, -0.00279, 1.07108, -0.5411, 1.0, 0.0, 0.0, 0.0], [1.34388, 0.00279, -1.09174, -0.4981, 0.0, 0.0, 1.0, 0.0]]","[[-5.98075, -0.87687, 0.89677, 0.64507], [-1.73777, -2.79437, 1.60403, 1.2673]]",r311|B>C>A|s,2,3,02,0.0707355302630646,4.432727851611667,8.728888720132524,4.296160868520856,"4.29616,4.43273",15.360810490782132,6.631921770649609,2.697253228207792,0,0,13,13,7b6ffaeb3fc319b7
n3_fork_c3d838a1,0,3,0,14,"0,1","[[-1.34388, -0.00279, 1.07108, -0.5411, 1.0, 0.0, 0.0, 0.0], [1.34388, 0.00279, -1.09174, -0.4981, 0.0, 0.0, 1.0, 0.0]]","[[-5.98075, -0.87687, 0.89677, 0.64507], [-1.73777, -2.79437, 1.60403, 1.2673]]",r321|A>B>C|s,2,3,02,0.0707355302630646,2.241266891264326,2.241266891264326,0.0,"0.00000,2.24127",15.360810490782132,13.119543599517806,6.1261295027891585,0,0,13,13,2a1715cfc7874f81
n3_fork_c3d838a1,0,3,0,15,"0,1","[[-1.34388, -0.00279, 1.07108, -0.5411, 1.0, 0.0, 0.0, 0.0], [1.34388, 0.00279, -1.09174, -0.4981, 0.0, 0.0, 1.0, 0.0]]","[[-5.98075, -0.87687, 0.89677, 0.64507], [-1.73777, -2.79437, 1.60403, 1.2673]]",r331|A>B>C|s,2,3,02,0.0707355302630646,0.0,-1.195342342007642,-1.195342342007642,"0.00000,-1.19534",15.360810490782132,16.556152832789774,6.993414096728648,0,0,13,13,5c04e686442beb15
n3_fork_c3d838a1,0,4,0,0,"0,1,2","[[0.50758, -0.09854, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0], [1.81988, -0.24277, -0.7896, -0.28657, 0.0, 0.0, 1.0, 0.0], [-2.32745, 0.34132, 0.36777, 1.14225, 1.0, 0.0, 0.0, 0.0]]","[[-4.42385, -0.82382, 0.89677, 0.64507], [-0.18086, -2.74132, 1.60403, 1.2673]]",r000|A>B>C,3,3,120,0.1061032953945969,0.449555941164105,0.39975001024711965,-0.049805930916985375,"0.00000,-0.04981,0.44956",24.154231085501603,23.754481075254482,6.64406273852644,0,0,22,22,bbe32095f1a868f9
n3_fork_c3d838a1,0,4,0,1,"0,1,2","[[0.50758, -0.09854, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0], [1.81988, -0.24277, -0.7896, -0.28657, 0.0, 0.0, 1.0, 0.0], [-2.32745, 0.34132, 0.36777, 1.14225, 1.0, 0.0, 0.0, 0.0]]","[[-4.42385, -0.82382, 0.89677, 0.64507], [-0.18086, -2.74132, 1.60403, 1.2673]]",r000|B>C>A|s,3,3,120,0.1061032953945969,0.39960528103475923,0.4494112119517446,0.0,"0.00000,0.04981,0.39961",24.154231085501603,23.70481987354986,6.64406273852644,0,0,22,22,28a6691cc4fe5ec6
