uid,instance_seed,n_agents,dep_mode,size,n_obstacles,couple_prob,couple_dist,method,status,team_time,flow_time,distance,wait,valid,agent_clearance,obstacle_clearance,dep_violations,n_switches,runtime_s,lower_bound,ratio_to_bound,git_commit,planner_seed,timeout_s,n_modes,n_feasible_modes,chosen_is_fastest_feasible,note,n_amax_violations,n_amax_viol_stop,n_amax_viol_block,n_amax_viol_snap,n_amax_viol_project,n_project_active,n_blocked,max_accel,phys_fp
n3_none_6d248e40,8,3,none,10.0,4-6,0.0,0.55,wm_planner,unfinished:deadlock: no team progress,18.0,48.2,27.598,22.85,False,0.9589,0.3206,0,2,6.263,16.7,1.0778,fb5c257,2,300.0,16,16,True,deadlock: no team progress,3,2,1,0,0,152,1,11.5948,2070da06d4a0
n3_none_6d248e40,8,3,none,10.0,4-6,0.0,0.55,wm_planner,ok,21.0,46.6,43.922,6.148,True,0.9318,0.3204,0,7,6.971,16.7,1.2575,fb5c257,1,300.0,16,16,False,,5,3,0,2,0,244,0,11.2017,2070da06d4a0
n3_none_e79b9f7b,1,3,none,10.0,4-6,1.0,0.55,lower_bound,ok,12.6,,,,,,,,,0.0,12.6,1.0,fb5c257,0,300.0,,,,,,,,,,,,,2070da06d4a0
n3_none_e79b9f7b,1,3,none,10.0,4-6,1.0,0.55,sequential,ok,31.3,66.6,31.994,35.3,True,0.9384,0.4023,0,,0.015,12.6,2.4841,fb5c257,0,300.0,,,,,,,,,,,,,2070da06d4a0
n3_none_e79b9f7b,1,3,none,10.0,4-6,1.0,0.55,wm_planner,ok,13.0,33.3,32.141,2.314,True,1.0034,0.3661,0,2,4.181,12.6,1.0317,fb5c257,0,300.0,16,16,False,,4,3,0,1,0,219,0,11.4749,2070da06d4a0
n3_none_7d73ca9f,0,3,none,10.0,4-6,1.0,0.55,wm_planner,ok,15.5,38.9,34.848,5.601,True,0.9252,0.3289,0,4,4.324,13.2,1.1742,fb5c257,2,300.0,16,16,True,,8,3,2,3,0,221,2,9.8217,2070da06d4a0
n3_none_7d73ca9f,0,3,none,10.0,4-6,1.0,0.55,wm_planner,ok,15.7,39.1,34.817,5.816,True,0.9252,0.3323,0,3,5.117,13.2,1.1894,fb5c257,1,300.0,16,16,True,,8,3,2,3,0,214,2,9.8217,2070da06d4a0
n3_none_e79b9f7b,1,3,none,10.0,4-6,1.0,0.55,wm_planner,ok,13.1,32.9,32.271,1.793,True,0.964,0.3663,0,1,4.925,12.6,1.0397,fb5c257,1,300.0,16,16,False,,5,3,0,2,0,238,0,10.7325,2070da06d4a0
n3_none_7cf14884,9,3,none,10.0,4-6,0.0,0.55,wm_planner,unfinished:deadlock: no team progress,21.0,49.9,38.706,14.172,False,0.9204,0.3204,0,4,6.54,14.1,1.4894,fb5c257,1,300.0,16,16,True,deadlock: no team progress,8,3,2,3,0,225,2,11.8298,2070da06d4a0
n3_none_e79b9f7b,1,3,none,10.0,4-6,1.0,0.55,wm_planner,ok,13.3,33.8,32.496,2.506,True,0.9309,0.3682,0,0,4.839,12.6,1.0556,fb5c257,2,300.0,16,16,True,,6,3,1,2,0,231,1,11.8038,2070da06d4a0
