[bench.run] 경고: wm_config 의 "seed": 0 를 무시한다. 플래너 seed 는 axis.planner_seeds 가 정한다 (이번 실행: [0, 1, 2]).
P1b: 격자 1620, 인스턴스 1620 x 3 planner seeds = 4860 units
  기존 완료 0 units, 이번 실행 대상 4860 units
  방법 ['lower_bound', 'prioritized', 'wm_planner']
  결정론적 ['lower_bound', 'prioritized'] 는 planner_seed=0 에서만 돈다
  워커 8 (안쪽 1), 하드 타임아웃 300s / 인스턴스
  commit abf8b8a
-> bench/runs/P1b.csv

  [   56/4860] n2_chain_3c3d12e3                  ps=2 13.6s ok                 0:16 경과, 남은 ~23:16
  [   57/4860] n2_chain_78a396e2                  ps=1 14.6s ok                 0:16 경과, 남은 ~23:06
  [   58/4860] n2_chain_78a396e2                  ps=0 13.5s ok                 0:16 경과, 남은 ~22:47
  [   59/4860] n2_chain_78a396e2                  ps=2 15.3s ok                 0:16 경과, 남은 ~22:39
  [   60/4860] n2_chain_3c3d12e3                  ps=0 13.6s ok                 0:17 경과, 남은 ~22:58
  [   61/4860] n2_chain_f6ec0587                  ps=0 12.8s ok                 0:17 경과, 남은 ~22:39
  [   62/4860] n2_chain_f6ec0587                  ps=1 13.2s ok                 0:17 경과, 남은 ~22:17
  [   63/4860] n2_chain_f56c6588                  ps=0 10.0s ok                 0:17 경과, 남은 ~22:35
  [   64/4860] n2_chain_f56c6588                  ps=1 10.0s ok                 0:18 경과, 남은 ~23:09
  [   65/4860] n2_chain_f56c6588                  ps=2 10.0s ok                 0:18 경과, 남은 ~23:00
  [   66/4860] n2_chain_f6ec0587                  ps=2 13.3s ok                 0:18 경과, 남은 ~22:44
  [   67/4860] n2_chain_23cd6768                  ps=0 10.9s ok                 0:19 경과, 남은 ~22:41
  [   68/4860] n2_chain_c42bb4a6                  ps=0 18.0s unfinished:deadlock: no team progress 0:19 경과, 남은 ~22:22
  [   69/4860] n2_chain_23cd6768                  ps=1 10.9s ok                 0:19 경과, 남은 ~22:44
